number,value,datetime_start,datetime_complete,duration,params_distance,params_margin_h,params_prominence_factor,params_sigma,params_window_size,user_attrs_mean_count_error,user_attrs_mean_precision,user_attrs_mean_recall,state
86,0.6403213108999555,2026-07-07 01:02:46.359482,2026-07-07 01:02:46.660125,0 days 00:00:00.300643,21,0.3828288824025795,0.009299100141004784,5.6341645121439505,29,1.75,0.6326948051948051,0.7511720224220225,COMPLETE
87,0.5925625840714019,2026-07-07 01:02:46.660125,2026-07-07 01:02:47.043051,0 days 00:00:00.382926,16,0.4905184581559582,0.002696134630340824,6.169836406707947,31,4.4,0.5526019684649716,0.7979335941835941,COMPLETE
88,0.6503399221140505,2026-07-07 01:02:47.043051,2026-07-07 01:02:47.315316,0 days 00:00:00.272265,25,0.32521265103374064,0.003644848946894083,6.7384958687559795,27,1.75,0.643987123987124,0.7542450604950606,COMPLETE
89,0.639973789234053,2026-07-07 01:02:47.315316,2026-07-07 01:02:47.796138,0 days 00:00:00.480822,23,0.42161784690284676,0.004834840725072764,7.06632939657646,31,1.45,0.6407867132867133,0.7306983294483296,COMPLETE
90,0.6491937736712268,2026-07-07 01:02:47.796138,2026-07-07 01:02:48.061949,0 days 00:00:00.265811,19,0.43664557550594346,0.0056769683570927374,5.609082778530487,22,4.15,0.6010905067155068,0.8703962703962704,COMPLETE
91,0.6443211835762986,2026-07-07 01:02:48.061949,2026-07-07 01:02:48.342501,0 days 00:00:00.280552,20,0.4571564883466227,0.007366534909036298,6.534550938451892,28,1.95,0.6289860139860138,0.7597200022200024,COMPLETE
92,0.6628279110884778,2026-07-07 01:02:48.342501,2026-07-07 01:02:48.623274,0 days 00:00:00.280773,22,0.5137724818190809,0.006318248189652769,5.811316370107152,25,2.45,0.6394139194139193,0.8064070651570653,COMPLETE
93,0.6628080828139719,2026-07-07 01:02:48.623274,2026-07-07 01:02:48.907267,0 days 00:00:00.283993,21,0.517016868559814,0.004372130128352021,5.880945824468915,25,3.25,0.6265810578310578,0.843196386946387,COMPLETE
94,0.6694763357557475,2026-07-07 01:02:48.907267,2026-07-07 01:02:49.167436,0 days 00:00:00.260169,22,0.5153433365890516,0.008027054122900024,5.933826568032596,25,2.2,0.6472727272727272,0.7997025197025198,COMPLETE
95,0.6403481732405881,2026-07-07 01:02:49.167436,2026-07-07 01:02:49.487579,0 days 00:00:00.320143,22,0.5093226199385674,0.013841374483472734,5.881778450554828,25,1.3,0.6388869463869463,0.7350026362526363,COMPLETE
96,0.662028201474022,2026-07-07 01:02:49.487579,2026-07-07 01:02:49.793979,0 days 00:00:00.306400,23,0.519020327595031,0.008036190481379282,6.180566147158713,22,2.3,0.6439729020979021,0.8114973914973916,COMPLETE
