number,value,datetime_start,datetime_complete,duration,params_hidden_dim,params_kappa,params_lambda_phys,params_lr_net,params_lr_params,params_n_colloc,params_ramp_epochs,params_warmup_epochs,user_attrs_mean_f1,user_attrs_mean_recon_err,state
30,-0.24380830159161512,2026-07-12 04:16:05.668738,2026-07-12 04:20:30.707923,0 days 00:04:25.039185,16,35.14405229324131,2.367996348239873,0.0011594809870490745,4.1728357361600345e-05,1100,600,1800,0.5895601982558505,0.30276432141720017,COMPLETE
31,-0.22135639121310968,2026-07-12 04:20:30.708923,2026-07-12 04:25:33.058752,0 days 00:05:02.349829,64,56.44316664721241,6.682933890493789,0.004619239549104206,7.956697815145125e-05,600,1100,1500,0.6607033063554802,0.2874267218486577,COMPLETE
32,-0.2467179146791539,2026-07-12 04:25:33.061752,2026-07-12 04:30:33.204785,0 days 00:05:00.143033,64,77.2943692256882,5.108222807805454,0.0082390600942287,0.0001449058289468856,700,850,1600,0.6448302904824645,0.31120094372740037,COMPLETE
33,-0.20955666998801334,2026-07-12 04:30:33.206786,2026-07-12 04:36:03.468601,0 days 00:05:30.261815,64,106.75917984854584,7.435740981990468,0.0023246902317473634,1.9263226538307554e-05,900,1350,1300,0.638481084133258,0.27340477840133914,COMPLETE
34,-0.24017546798883924,2026-07-12 04:36:03.470593,2026-07-12 04:40:57.256589,0 days 00:04:53.785996,32,140.01616609131875,6.7368331884041055,0.002230343047628322,1.9601830079775685e-05,900,1350,1300,0.6306888763410503,0.3032443556229443,COMPLETE
35,-0.24857201675425916,2026-07-12 04:40:57.259100,2026-07-12 04:46:51.477441,0 days 00:05:54.218341,64,109.55855809095324,3.232889942563832,0.001792453474198061,1.0179169751955716e-05,1200,1850,1200,0.625130183825836,0.31108503513684277,COMPLETE
36,-0.2184060134980822,2026-07-12 04:46:51.480440,2026-07-12 04:51:41.313305,0 days 00:04:49.832865,64,8.284747992126427,7.150094200116721,0.016291443967579786,1.82390584091938e-05,900,600,1900,0.6614969571491311,0.28455570921299533,COMPLETE
37,-0.23295518808341997,2026-07-12 04:51:41.316309,2026-07-12 04:57:56.628278,0 days 00:06:15.311969,128,39.6763114519551,4.790052431329454,0.0012207773889252468,3.37220156119268e-05,500,1850,1300,0.6488706945228684,0.2978422575357068,COMPLETE
38,-0.2660136823974699,2026-07-12 04:57:56.631277,2026-07-12 05:03:27.070674,0 days 00:05:30.439397,32,101.17862116597942,1.701063354451435,0.002163816459454319,0.0007906051285389692,1300,600,1000,0.5744086831043352,0.32345455070790347,COMPLETE
39,-0.5974747923092545,2026-07-12 05:03:27.072676,2026-07-12 05:07:24.639290,0 days 00:03:57.566614,16,127.68914657433352,7.333531482831056,0.0009154573950588529,0.006128418593894088,400,850,1700,0.5506713093669616,0.6525419232459506,COMPLETE
